department_code,department_title,collection_id,lesson,resource_folder,type,original_path,new_path,original_basename,new_basename,file_size_bytes,compressed_size_bytes,crc32,suggested_bunny_title
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,01,VIDEO,dzał 2/0/01/ScreenRecorderProject89.mkv,dzał 2/0/01/D2_L00_01_VIDEO_ScreenRecorderProject89.mkv,ScreenRecorderProject89.mkv,D2_L00_01_VIDEO_ScreenRecorderProject89.mkv,3505889,2581374,38305c0e,D2_L00_01_VIDEO_ScreenRecorderProject89
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,02,IMAGE,dzał 2/0/02/1.png,dzał 2/0/02/D2_L00_02_IMAGE_1.png,1.png,D2_L00_02_IMAGE_1.png,18706,14520,706b08cb,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,03,VIDEO,dzał 2/0/03/ScreenRecorderProject90.mkv,dzał 2/0/03/D2_L00_03_VIDEO_ScreenRecorderProject90.mkv,ScreenRecorderProject90.mkv,D2_L00_03_VIDEO_ScreenRecorderProject90.mkv,2938171,2142425,da6bce9f,D2_L00_03_VIDEO_ScreenRecorderProject90
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,04,IMAGE,dzał 2/0/04/1.png,dzał 2/0/04/D2_L00_04_IMAGE_1.png,1.png,D2_L00_04_IMAGE_1.png,19977,16216,5dd59a69,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,05,VIDEO,dzał 2/0/05/ScreenRecorderProject91.mkv,dzał 2/0/05/D2_L00_05_VIDEO_ScreenRecorderProject91.mkv,ScreenRecorderProject91.mkv,D2_L00_05_VIDEO_ScreenRecorderProject91.mkv,2518982,1957716,b5ecd2ca,D2_L00_05_VIDEO_ScreenRecorderProject91
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,06,IMAGE,dzał 2/0/06/1.png,dzał 2/0/06/D2_L00_06_IMAGE_1.png,1.png,D2_L00_06_IMAGE_1.png,14083,10588,2e5c40ec,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,07,VIDEO,dzał 2/0/07/ScreenRecorderProject92.mkv,dzał 2/0/07/D2_L00_07_VIDEO_ScreenRecorderProject92.mkv,ScreenRecorderProject92.mkv,D2_L00_07_VIDEO_ScreenRecorderProject92.mkv,1624034,1315367,a95d05a8,D2_L00_07_VIDEO_ScreenRecorderProject92
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,00,08,IMAGE,dzał 2/0/08/1.png,dzał 2/0/08/D2_L00_08_IMAGE_1.png,1.png,D2_L00_08_IMAGE_1.png,14640,11174,1b57fbac,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,01,ROOT,VIDEO,dzał 2/01/ScreenRecorderProject84.mkv,dzał 2/01/D2_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,100699592,17473714,d1a506e1,D2_L01_ROOT_VIDEO_ScreenRecorderProject84
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,01,01,VIDEO,dzial 3/01/01/ScreenRecorderProject77.mkv,dzial 3/01/01/D3_L01_01_VIDEO_ScreenRecorderProject77.mkv,ScreenRecorderProject77.mkv,D3_L01_01_VIDEO_ScreenRecorderProject77.mkv,73863406,17181846,2709dec5,D3_L01_01_VIDEO_ScreenRecorderProject77
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,01,02,QUIZ,dzial 3/01/02/Nowy dokument tekstowy.TXT,dzial 3/01/02/D3_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D3_L01_02_QUIZ_Nowy_dokument_tekstowy.txt,1680,888,1affdaae,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,02,01,VIDEO,dzial 3/02/01/ScreenRecorderProject80.mkv,dzial 3/02/01/D3_L02_01_VIDEO_ScreenRecorderProject80.mkv,ScreenRecorderProject80.mkv,D3_L02_01_VIDEO_ScreenRecorderProject80.mkv,81085344,18112956,61fbb9b4,D3_L02_01_VIDEO_ScreenRecorderProject80
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,02,02,QUIZ,dzial 3/02/02/Nowy dokument tekstowy.TXT,dzial 3/02/02/D3_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D3_L02_02_QUIZ_Nowy_dokument_tekstowy.txt,1790,952,ca33f3bc,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,03,01,VIDEO,dzial 3/03/01/ScreenRecorderProject80.mkv,dzial 3/03/01/D3_L03_01_VIDEO_ScreenRecorderProject80.mkv,ScreenRecorderProject80.mkv,D3_L03_01_VIDEO_ScreenRecorderProject80.mkv,41020620,7843227,1759c032,D3_L03_01_VIDEO_ScreenRecorderProject80
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,03,02,QUIZ,dzial 3/03/02/Nowy dokument tekstowy.TXT,dzial 3/03/02/D3_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D3_L03_02_QUIZ_Nowy_dokument_tekstowy.txt,1587,813,5932e5b1,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,04,ROOT,VIDEO,dzial 3/04/ScreenRecorderProject83.mkv,dzial 3/04/D3_L04_ROOT_VIDEO_ScreenRecorderProject83.mkv,ScreenRecorderProject83.mkv,D3_L04_ROOT_VIDEO_ScreenRecorderProject83.mkv,36961639,7507383,8d94fefe,D3_L04_ROOT_VIDEO_ScreenRecorderProject83
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,05,ROOT,VIDEO,dzial 3/05/ScreenRecorderProject84.mkv,dzial 3/05/D3_L05_ROOT_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D3_L05_ROOT_VIDEO_ScreenRecorderProject84.mkv,88068207,19411107,71342301,D3_L05_ROOT_VIDEO_ScreenRecorderProject84
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,04,01,VIDEO,dzial 3/04/01/ScreenRecorderProject83.mkv,dzial 3/04/01/D3_L04_01_VIDEO_ScreenRecorderProject83.mkv,ScreenRecorderProject83.mkv,D3_L04_01_VIDEO_ScreenRecorderProject83.mkv,36961639,7507383,8d94fefe,D3_L04_01_VIDEO_ScreenRecorderProject83
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,04,02,QUIZ,dzial 3/04/02/Nowy dokument tekstowy.TXT,dzial 3/04/02/D3_L04_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D3_L04_02_QUIZ_Nowy_dokument_tekstowy.txt,1467,792,81f3c434,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,05,01,VIDEO,dzial 3/05/01/ScreenRecorderProject84.mkv,dzial 3/05/01/D3_L05_01_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D3_L05_01_VIDEO_ScreenRecorderProject84.mkv,88068207,19411107,71342301,D3_L05_01_VIDEO_ScreenRecorderProject84
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,05,02,QUIZ,dzial 3/05/02/Nowy dokument tekstowy.TXT,dzial 3/05/02/D3_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D3_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,2000,931,94aaa26c,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,01,03,VIDEO,dzial 3/01/03/ScreenRecorderProject84.mkv,dzial 3/01/03/D3_L01_03_VIDEO_ScreenRecorderProject84.mkv,ScreenRecorderProject84.mkv,D3_L01_03_VIDEO_ScreenRecorderProject84.mkv,10560859,4456753,43855a1e,D3_L01_03_VIDEO_ScreenRecorderProject84
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,01,04,IMAGE,dzial 3/01/04/1.png,dzial 3/01/04/D3_L01_04_IMAGE_1.png,1.png,D3_L01_04_IMAGE_1.png,55900,53554,64ceeb61,
D3,Dział 3,b98b4a50-1458-4136-bd02-f3368696160d,01,05,VIDEO,dzial 3/01/05/ScreenRecorderProject85.mkv,dzial 3/01/05/D3_L01_05_VIDEO_ScreenRecorderProject85.mkv,ScreenRecorderProject85.mkv,D3_L01_05_VIDEO_ScreenRecorderProject85.mkv,6488869,3106676,70178003,D3_L01_05_VIDEO_ScreenRecorderProject85
